id,item_id,dept_id,cat_id,store_id,state_id,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60,d_61,d_62,d_63,d_64,d_65,d_66,d_67,d_68,d_69,d_70,d_71,d_72,d_73,d_74,d_75,d_76,d_77,d_78,d_79,d_80,d_81,d_82,d_83,d_84,d_85,d_86,d_87,d_88,d_89,d_90,d_91,d_92,d_93,d_94,d_95,d_96,d_97,d_98,d_99,d_100,d_101,d_102,d_103,d_104,d_105,d_106,d_107,d_108,d_109,d_110,d_111,d_112,d_113,d_114,d_115,d_116,d_117,d_118,d_119,d_120,d_121,d_122,d_123,d_124,d_125,d_126,d_127,d_128,d_129,d_130,d_131,d_132,d_133,d_134,d_135,d_136,d_137,d_138,d_139,d_140,d_141,d_142,d_143,d_144,d_145,d_146,d_147,d_148,d_149,d_150,d_151,d_152,d_153,d_154,d_155,d_156,d_157,d_158,d_159,d_160,d_161,d_162,d_163,d_164,d_165,d_166,d_167,d_168,d_169,d_170,d_171,d_172,d_173,d_174,d_175,d_176,d_177,d_178,d_179,d_180,d_181,d_182,d_183,d_184,d_185,d_186,d_187,d_188,d_189,d_190,d_191,d_192,d_193,d_194,d_195,d_196,d_197,d_198,d_199,d_200,d_201,d_202,d_203,d_204,d_205,d_206,d_207,d_208,d_209,d_210,d_211,d_212,d_213,d_214,d_215,d_216,d_217,d_218,d_219,d_220,d_221,d_222,d_223,d_224,d_225,d_226,d_227,d_228,d_229,d_230,d_231,d_232,d_233,d_234,d_235,d_236,d_237,d_238,d_239,d_240,d_241,d_242,d_243,d_244,d_245,d_246,d_247,d_248,d_249,d_250,d_251,d_252,d_253,d_254,d_255,d_256,d_257,d_258,d_259,d_260,d_261,d_262,d_263,d_264,d_265,d_266,d_267,d_268,d_269,d_270,d_271,d_272,d_273,d_274,d_275,d_276,d_277,d_278,d_279,d_280,d_281,d_282,d_283,d_284,d_285,d_286,d_287,d_288,d_289,d_290,d_291,d_292,d_293,d_294,d_295,d_296,d_297,d_298,d_299,d_300,d_301,d_302,d_303,d_304,d_305,d_306,d_307,d_308,d_309,d_310,d_311,d_312,d_313,d_314,d_315,d_316,d_317,d_318,d_319,d_320,d_321,d_322,d_323,d_324,d_325,d_326,d_327,d_328,d_329,d_330,d_331,d_332,d_333,d_334,d_335,d_336,d_337,d_338,d_339,d_340,d_341,d_342,d_343,d_344,d_345,d_346,d_347,d_348,d_349,d_350,d_351,d_352,d_353,d_354,d_355,d_356,d_357,d_358,d_359,d_360,d_361,d_362,d_363,d_364,d_365
FOODS_1_001_CA_1_validation,FOODS_1_001,FOODS_1,FOODS,CA_1,CA,11,6,15,25,18,20,19,17,13,9,19,20,13,14,18,8,24,26,22,13,12,9,17,23,16,18,17,13,8,11,25,20,20,12,16,14,11,13,29,14,18,8,16,15,22,22,28,24,14,12,13,16,20,19,22,17,12,6,12,26,12,17,12,14,13,19,21,20,14,16,16,10,18,24,23,17,14,15,15,19,26,26,10,18,15,10,22,22,21,15,16,12,16,18,22,26,16,18,17,10,23,17,28,24,18,8,17,28,23,22,13,16,18,16,31,25,15,18,8,13,18,21,26,31,17,20,15,15,15,22,16,17,17,11,20,21,25,27,15,16,13,19,15,25,25,19,14,12,13,22,25,27,20,9,16,21,25,28,18,20,19,14,15,26,21,19,21,18,19,16,18,28,18,17,18,14,22,12,23,19,16,14,11,17,18,27,22,16,22,19,9,12,32,22,12,20,16,16,24,19,16,25,12,12,12,30,29,29,20,15,18,10,16,31,18,18,17,14,9,18,22,26,19,18,14,17,14,17,13,17,15,19,13,22,32,22,20,21,12,15,18,21,17,15,18,11,14,25,30,23,26,24,17,8,25,15,33,24,24,18,14,20,25,31,23,18,14,24,26,19,23,24,15,18,19,7,27,26,18,19,19,16,20,32,26,19,13,12,12,23,28,18,23,23,15,10,19,34,29,16,24,22,14,19,25,24,24,20,20,19,30,23,29,11,13,17,18,22,26,25,26,17,24,19,25,22,32,19,14,19,12,19,29,40,18,17,20,12,25,37,26,25,20,15,16,21,29,28,24,21,9,16,16,28,27,25,19,19,20,29,29,28,21,17,15
FOODS_1_002_CA_1_validation,FOODS_1_002,FOODS_1,FOODS,CA_1,CA,18,39,38,44,57,49,41,41,27,31,73,49,38,46,38,35,64,49,62,41,38,45,36,49,69,49,34,29,21,46,35,55,50,43,43,41,29,44,61,51,54,41,40,37,56,60,40,45,32,31,37,57,59,58,56,39,54,37,30,68,59,53,43,35,25,44,49,49,47,51,39,26,51,74,49,41,38,30,38,46,65,46,39,44,34,46,43,63,67,31,25,25,43,42,92,50,45,51,52,49,60,74,64,50,35,31,35,47,56,65,52,40,48,27,47,53,36,43,39,49,40,39,86,72,50,38,30,33,60,87,76,40,31,39,23,53,61,53,31,45,34,27,21,63,80,61,37,34,40,40,68,69,57,40,37,30,42,61,64,54,35,51,35,50,55,31,54,48,37,37,56,45,54,54,31,42,27,56,65,41,58,36,33,39,64,52,62,51,48,41,35,43,67,48,19,46,48,20,42,75,88,48,36,39,49,46,56,56,39,44,54,41,50,63,43,57,43,39,63,56,58,58,60,45,29,46,46,94,77,44,55,42,46,59,57,55,59,41,38,32,59,98,50,49,57,41,43,43,75,62,59,55,64,44,58,73,60,53,42,44,50,44,86,82,49,26,37,51,55,56,59,59,50,41,37,51,58,87,47,57,56,49,51,77,66,42,49,33,51,51,75,70,49,52,39,48,41,74,93,41,40,48,43,61,80,76,63,50,42,47,79,71,54,64,46,25,49,51,72,73,54,54,41,46,55,85,77,43,58,40,49,62,102,66,49,47,42,49,39,59,54,63,64,44,41,60,92,57,56,58,50,44,71,34,79,47,30,50,55,58,90,93,68,65,53
FOODS_1_003_CA_1_validation,FOODS_1_003,FOODS_1,FOODS,CA_1,CA,5,6,10,9,10,5,8,6,7,9,10,7,5,3,6,9,6,5,12,12,7,7,6,5,8,9,7,7,8,5,10,10,12,8,6,7,6,9,13,10,7,5,7,7,7,13,8,10,8,7,6,10,14,12,7,8,8,9,8,13,13,7,10,5,7,9,12,16,8,7,9,7,11,12,11,11,6,7,8,9,10,12,10,7,7,6,8,14,11,7,8,8,6,7,17,8,8,8,7,6,10,6,8,8,7,7,7,5,15,10,7,8,7,8,10,15,9,9,6,7,7,9,12,13,6,6,7,5,10,12,8,6,3,5,7,10,13,9,9,8,5,7,11,11,14,8,6,8,10,10,14,10,6,8,8,6,11,11,9,11,10,6,9,9,13,11,10,8,8,5,6,16,10,9,9,10,7,9,11,12,7,8,7,10,10,8,18,11,12,6,7,11,14,13,5,5,10,10,10,17,9,8,6,6,8,8,19,13,11,9,10,6,13,13,15,6,9,8,6,11,17,10,11,6,11,9,14,15,13,11,8,5,8,9,10,14,9,10,7,7,13,14,9,10,11,7,8,9,13,15,10,11,9,11,7,13,10,8,7,8,8,12,10,12,8,10,7,7,12,12,15,13,9,10,4,10,14,10,10,11,5,6,11,15,15,10,10,10,7,9,13,13,8,8,9,8,10,9,13,8,11,8,6,11,18,15,10,6,11,7,13,13,15,13,10,10,8,10,15,12,15,7,10,9,12,19,14,9,10,8,9,13,12,17,10,10,10,9,11,13,13,14,7,7,7,12,10,10,10,7,6,6,9,17,16,15,13,10,10,12,16,19,11,12,7
FOODS_1_004_CA_1_validation,FOODS_1_004,FOODS_1,FOODS,CA_1,CA,5,6,9,11,11,6,7,8,8,12,12,12,11,6,7,7,11,8,8,8,7,8,7,8,12,11,11,7,6,7,9,7,10,8,6,8,5,9,11,11,9,5,7,9,6,11,13,8,8,3,7,7,12,10,12,8,7,4,9,13,10,7,6,8,7,11,9,12,8,7,7,7,10,9,9,11,7,7,8,10,13,13,4,7,8,8,9,10,9,10,7,7,7,4,17,9,9,5,6,8,5,15,10,9,8,8,5,9,8,12,11,5,6,6,10,14,11,8,9,8,7,10,15,10,7,9,5,7,9,9,9,8,9,6,9,10,16,10,9,8,7,8,5,19,13,8,7,6,8,12,12,14,7,6,10,8,13,10,9,8,6,9,6,7,13,8,5,8,5,8,7,7,11,9,9,8,5,11,15,9,9,8,8,7,10,14,9,10,10,10,4,10,8,6,9,7,8,8,13,13,19,10,11,4,9,10,8,13,9,9,9,5,12,13,16,9,7,8,7,9,12,9,8,9,8,9,10,9,14,8,8,10,6,11,13,14,11,9,7,8,13,13,12,10,9,6,8,8,15,10,10,9,12,9,14,19,14,10,7,8,6,10,19,13,8,11,10,9,6,19,11,11,13,12,6,7,18,13,9,10,8,9,11,16,10,13,10,9,6,15,14,15,9,9,9,3,12,20,14,8,10,10,9,11,13,12,11,6,8,11,15,10,10,9,11,5,8,10,18,9,10,8,11,9,10,17,12,12,9,10,9,19,14,14,9,9,4,9,14,16,10,9,4,10,6,11,14,18,10,11,10,10,11,20,8,12,8,8,9,13,17,10,14,8,7
FOODS_1_005_CA_1_validation,FOODS_1_005,FOODS_1,FOODS,CA_1,CA,19,24,35,35,30,29,11,16,10,21,29,42,11,20,24,21,36,36,35,16,18,13,22,30,38,27,20,24,18,16,25,31,27,19,25,28,20,29,40,36,21,31,18,23,31,22,31,26,24,23,24,28,39,33,20,23,25,25,32,46,37,31,28,21,24,23,39,38,32,28,27,20,27,35,36,17,30,23,19,14,37,33,22,21,22,19,33,32,36,33,24,24,23,30,37,31,28,23,30,25,21,27,34,25,23,26,23,32,49,26,28,22,30,12,17,41,44,32,21,30,16,38,30,33,31,17,30,20,31,48,30,34,33,20,28,20,42,27,33,30,34,29,30,31,41,28,33,13,33,34,33,42,36,26,15,21,38,44,36,36,29,28,21,28,26,35,34,25,27,28,34,44,27,27,35,25,32,27,43,35,32,31,28,28,32,39,24,33,27,24,22,32,39,34,31,29,21,22,31,42,38,33,18,18,25,29,49,48,31,21,31,25,23,30,51,38,13,18,29,33,48,39,34,27,23,29,35,48,41,27,36,28,22,42,31,58,29,20,36,22,35,49,49,32,24,27,22,36,57,46,32,32,30,19,34,66,50,28,24,23,29,45,49,42,28,30,22,15,46,35,38,35,36,28,19,32,38,41,39,14,24,23,26,50,29,23,33,35,25,26,38,50,33,28,29,25,46,38,34,23,26,21,27,35,35,47,42,31,13,36,41,63,51,41,30,26,28,31,50,20,33,37,28,35,34,55,35,39,31,27,12,34,48,50,43,42,35,23,34,53,48,44,45,41,34,40,59,58,32,27,24,22,26,49,35,28,34,29,29,47,55,57,34,40,31
FOODS_1_006_CA_1_validation,FOODS_1_006,FOODS_1,FOODS,CA_1,CA,28,25,49,56,49,34,27,32,20,47,45,46,27,34,25,30,42,40,33,43,29,29,29,27,51,44,29,23,32,33,38,33,34,31,40,27,24,25,41,33,27,31,26,36,46,42,36,44,41,16,28,36,54,62,31,18,33,35,36,42,41,40,28,31,28,38,56,41,32,36,24,23,29,57,45,26,37,26,23,37,64,42,39,36,33,35,33,39,36,34,26,31,29,47,53,43,39,25,30,30,40,55,41,44,44,21,22,40,48,65,38,42,18,34,34,43,45,26,36,32,31,47,67,44,40,35,33,32,53,47,33,32,38,31,27,32,54,55,39,32,32,30,43,40,51,34,41,33,35,39,50,64,41,29,38,27,43,73,35,36,37,37,23,29,65,42,32,45,33,31,40,40,57,41,36,32,29,50,52,49,43,36,44,20,45,47,41,35,35,34,21,38,58,42,30,19,29,24,34,52,45,30,20,35,36,40,52,51,52,24,31,20,47,54,54,41,43,37,37,34,69,44,34,38,36,25,42,73,37,52,34,18,23,36,49,51,18,38,27,41,42,68,65,49,32,30,31,51,51,52,43,30,28,32,45,63,61,32,31,28,42,44,58,54,35,49,38,33,35,45,51,36,29,33,32,47,53,43,33,47,26,36,51,57,74,46,52,31,29,51,56,74,45,30,23,33,46,63,69,52,34,27,25,40,55,59,36,40,39,35,36,66,79,45,15,46,29,69,62,37,25,51,45,50,48,60,52,38,36,38,29,32,63,47,15,44,29,39,54,65,86,43,37,42,35,60,46,43,51,30,42,38,42,67,43,35,38,38,33,53,67,76,44,50,45
FOODS_1_007_CA_1_validation,FOODS_1_007,FOODS_1,FOODS,CA_1,CA,32,27,42,39,31,33,27,25,31,35,46,38,36,32,31,22,43,60,47,26,23,24,22,34,50,43,33,27,26,29,20,44,43,37,23,21,28,21,57,43,42,22,25,13,29,43,25,29,17,26,32,35,60,49,41,24,23,28,24,50,39,41,33,34,22,43,59,42,28,25,35,40,29,36,51,28,36,31,26,40,50,41,21,31,37,18,29,51,44,36,26,35,27,42,50,45,38,31,22,33,43,27,38,41,19,34,26,47,48,38,36,30,24,39,30,26,59,30,29,27,24,32,38,45,32,35,32,22,39,44,36,39,30,27,23,30,68,48,27,33,36,29,49,34,27,37,33,10,24,31,36,37,39,25,24,19,49,54,23,28,35,38,33,36,31,55,33,33,29,21,42,53,43,39,23,29,29,26,50,54,34,32,34,27,37,39,47,34,36,34,34,36,29,55,40,29,35,21,49,48,40,32,31,31,30,37,54,48,32,28,35,33,41,62,29,33,26,46,34,40,61,60,46,40,30,27,33,58,47,34,31,41,36,57,59,50,38,27,24,33,34,56,61,33,48,26,37,46,67,39,56,33,37,40,37,63,42,49,29,33,33,49,76,46,48,49,34,27,28,75,48,31,25,26,37,52,62,52,29,30,26,35,34,47,49,26,36,33,39,36,41,48,31,36,21,28,35,62,43,26,34,36,30,38,48,53,33,34,39,24,44,36,55,32,44,24,35,55,45,43,33,33,38,29,35,34,70,54,41,29,37,53,54,54,51,25,42,31,35,46,44,31,50,38,40,51,59,55,38,35,25,40,29,46,76,43,39,40,23,33,53,44,41,41,45
FOODS_1_008_CA_1_validation,FOODS_1_008,FOODS_1,FOODS,CA_1,CA,6,4,4,12,10,6,4,4,4,7,10,11,6,4,4,5,6,9,8,8,5,5,6,6,10,9,7,5,7,8,7,7,9,8,5,5,6,9,11,10,6,7,5,6,9,11,8,7,8,5,7,8,9,7,7,6,8,4,11,11,10,6,7,6,7,6,13,10,8,6,5,6,8,7,11,9,5,5,5,8,10,9,7,4,4,2,9,10,11,5,6,6,5,5,14,12,7,7,5,4,11,7,9,7,9,7,4,8,10,9,8,5,6,6,9,11,9,7,8,6,4,6,7,13,9,6,6,5,10,15,9,9,7,6,8,8,11,10,5,7,6,4,7,10,12,6,6,7,4,7,7,12,7,7,8,5,8,8,8,6,6,6,6,7,12,11,7,6,7,6,9,15,10,7,6,5,4,10,6,11,6,6,5,8,9,13,13,8,5,6,5,8,11,10,9,8,6,7,8,14,9,10,5,6,6,9,13,8,6,5,9,7,7,10,13,8,7,6,5,11,15,8,10,6,8,8,9,11,12,6,9,7,6,8,8,10,8,6,7,7,9,13,9,10,8,9,10,8,11,10,9,9,6,7,9,13,14,8,5,8,5,9,14,12,8,7,3,8,9,16,12,7,9,9,6,12,11,11,9,9,8,6,12,12,10,7,11,6,9,7,13,12,11,7,6,7,13,10,5,9,9,6,8,7,12,13,6,8,9,8,8,16,13,5,9,6,7,12,11,8,12,10,7,8,9,13,11,8,8,5,7,10,17,9,10,9,4,8,12,14,11,10,8,5,7,9,11,18,11,6,8,9,7,13,12,7,9,9,9,9,19,7,10,6,8
FOODS_1_009_CA_1_validation,FOODS_1_009,FOODS_1,FOODS,CA_1,CA,23,16,27,17,34,27,20,21,13,22,39,34,22,25,21,17,25,31,24,30,19,17,13,12,39,37,30,21,19,17,24,42,32,26,20,26,12,20,37,43,23,18,25,21,34,26,40,17,21,23,20,33,22,33,31,23,16,24,24,29,26,24,23,16,16,24,28,33,27,24,22,27,30,41,30,30,21,23,15,29,29,40,30,21,31,19,19,30,26,28,17,19,22,29,36,35,24,16,20,23,28,39,30,31,11,23,26,37,35,25,33,23,21,17,22,41,39,27,20,17,15,26,30,23,30,17,27,23,31,50,26,31,22,34,20,26,41,33,23,19,30,16,31,46,43,24,23,21,15,33,38,46,23,30,28,22,17,34,49,29,28,23,21,19,45,44,22,24,22,24,27,46,37,13,27,28,17,33,54,37,34,23,24,21,28,38,24,26,32,19,17,31,40,40,28,26,22,17,31,46,41,18,27,20,29,33,47,37,28,33,29,23,30,26,40,28,29,29,29,34,32,21,24,33,34,22,22,35,47,26,29,25,27,44,46,39,41,28,21,27,35,39,34,28,24,24,19,35,44,41,29,26,32,24,41,33,43,25,24,23,21,30,52,39,31,24,30,26,31,29,41,34,22,24,27,23,37,42,37,39,36,25,30,51,35,26,26,23,26,29,44,53,31,36,32,27,31,52,38,31,29,26,21,23,52,45,20,24,27,27,24,43,45,29,29,24,29,29,34,41,22,16,32,20,25,37,34,30,22,29,28,26,39,37,30,35,33,38,19,36,56,20,39,28,26,26,41,56,32,26,29,24,38,37,41,28,18,30,19,34,54,29,36,27,22
FOODS_1_010_CA_1_validation,FOODS_1_010,FOODS_1,FOODS,CA_1,CA,39,34,36,53,37,37,26,17,26,33,31,45,27,48,20,20,43,45,51,36,26,20,32,27,52,52,32,28,23,29,14,54,45,32,32,21,14,41,60,29,27,35,31,43,46,56,38,38,40,28,27,39,42,47,36,40,28,31,37,55,43,39,36,23,34,37,44,39,37,31,32,30,43,77,46,30,19,22,35,44,36,69,38,35,44,38,45,58,55,34,34,34,28,32,47,37,36,20,32,19,36,55,54,41,34,24,34,31,62,53,46,33,26,21,30,34,56,44,36,31,41,39,54,47,34,37,27,25,46,46,49,34,33,27,26,34,61,50,44,40,29,35,41,51,61,41,31,35,22,43,37,39,42,15,44,35,26,79,76,36,28,43,28,43,66,48,36,25,28,29,31,41,50,24,28,45,28,38,50,47,43,38,30,29,54,38,50,40,29,32,25,48,40,62,38,32,26,38,37,42,62,32,35,39,32,58,46,49,38,40,42,32,42,39,53,34,40,31,30,31,35,71,41,39,28,38,50,47,41,34,36,35,32,56,48,41,40,24,39,33,41,52,62,48,35,39,38,48,55,57,32,37,33,30,29,46,48,48,39,41,41,48,59,43,58,26,36,39,53,45,49,35,22,36,28,60,66,55,38,38,34,34,64,46,53,48,35,47,38,40,62,47,35,37,45,39,46,69,58,32,37,35,39,41,49,55,37,36,36,31,56,77,65,27,34,35,21,39,58,51,43,28,33,35,48,66,61,40,40,31,33,38,74,54,53,42,30,37,56,60,58,39,40,39,31,38,78,64,39,41,26,21,59,65,57,46,66,44,28,32,76,68,50,33,41
