store_id,sku,model_type,mae,model_path
CA_1,HOBBIES_2_005,prophet,9.22684778839101,models\saved\prophet\CA_1_HOBBIES_2_005_prophet.pkl
CA_1,HOUSEHOLD_3_010,prophet,8.671603778491797,models\saved\prophet\CA_1_HOUSEHOLD_3_010_prophet.pkl
CA_2,FOODS_1_009,prophet,7.985439066819371,models\saved\prophet\CA_2_FOODS_1_009_prophet.pkl
TX_1,FOODS_1_002,prophet,7.82576135763703,models\saved\prophet\TX_1_FOODS_1_002_prophet.pkl
TX_1,HOBBIES_2_005,prophet,7.981433171663713,models\saved\prophet\TX_1_HOBBIES_2_005_prophet.pkl
TX_1,HOBBIES_2_006,prophet,8.790943671947852,models\saved\prophet\TX_1_HOBBIES_2_006_prophet.pkl
TX_2,HOUSEHOLD_3_002,prophet,9.503844906053196,models\saved\prophet\TX_2_HOUSEHOLD_3_002_prophet.pkl
TX_2,HOUSEHOLD_3_007,prophet,8.05211644542024,models\saved\prophet\TX_2_HOUSEHOLD_3_007_prophet.pkl
WI_1,FOODS_1_004,prophet,9.425154377998032,models\saved\prophet\WI_1_FOODS_1_004_prophet.pkl
WI_1,HOBBIES_2_003,prophet,8.942543669753109,models\saved\prophet\WI_1_HOBBIES_2_003_prophet.pkl
