store_id,sku,model_type,mae,rmse,model_path
CA_1,HOBBIES_2_005,xgboost,12.489751841923962,16.103363218305212,models\saved\xgboost\CA_1_HOBBIES_2_005_xgboost.pkl
CA_1,HOUSEHOLD_3_010,xgboost,13.24709513416029,16.152626716277293,models\saved\xgboost\CA_1_HOUSEHOLD_3_010_xgboost.pkl
CA_2,FOODS_1_009,xgboost,12.031164404464095,16.322618616959574,models\saved\xgboost\CA_2_FOODS_1_009_xgboost.pkl
TX_1,FOODS_1_002,xgboost,10.54056204181828,13.208734437022782,models\saved\xgboost\TX_1_FOODS_1_002_xgboost.pkl
TX_1,HOBBIES_2_005,xgboost,14.026693213475893,17.4424461513328,models\saved\xgboost\TX_1_HOBBIES_2_005_xgboost.pkl
TX_1,HOBBIES_2_006,xgboost,15.728655357883401,19.07975575441626,models\saved\xgboost\TX_1_HOBBIES_2_006_xgboost.pkl
TX_2,HOUSEHOLD_3_002,xgboost,14.514800137036467,18.891827211561093,models\saved\xgboost\TX_2_HOUSEHOLD_3_002_xgboost.pkl
TX_2,HOUSEHOLD_3_007,xgboost,12.736971241154082,16.418116096118496,models\saved\xgboost\TX_2_HOUSEHOLD_3_007_xgboost.pkl
WI_1,FOODS_1_004,xgboost,12.474142936811056,16.10643181720553,models\saved\xgboost\WI_1_FOODS_1_004_xgboost.pkl
WI_1,HOBBIES_2_003,xgboost,11.62151164224703,15.111864610229773,models\saved\xgboost\WI_1_HOBBIES_2_003_xgboost.pkl
